subjectnumber,should,pinkscale,purpose,value,dv-order,condition,study,gender,dob,dot,age
P2014-30,0,-2,1,,,Means,Study 1,M,6/29/09,4/8/14,4.778082192
P2014-31,0,-1,1,,,Means,Study 1,F,2/26/09,4/8/14,5.115068493
P2014-33,0,0,1,,,Means,Study 1,F,10/18/08,4/8/14,5.473972603
P2015-114,0,-1,1,,,Means,Study 1,M,9/17/09,5/13/15,5.654794521
P2015-118,0,-1,0,,,Means,Study 1,F,8/12/10,5/13/15,4.753424658
P2015-122,1,2,0,,,Means,Study 1,F,8/13/10,5/13/15,4.750684932
P2015-126,0,-1,1,,,Means,Study 1,,,,
P2015-154,0,-2,1,,,Means,Study 1,M,6/4/11,6/25/15,4.060273973
P2015-158b,1,0,1,,,Means,Study 1,M,3/30/10,7/22/15,5.315068493
P2015-170,0,-1,1,,,Means,Study 1,F,9/20/10,7/13/15,4.81369863
P2015-173,0,-2,1,,,Means,Study 1,M,2/27/10,7/13/15,5.375342466
P2015-185,0,-1,1,,,Means,Study 1,M,1/6/11,7/15/15,4.523287671
P2015-189,1,0,0,,,Means,Study 1,M,12/15/09,7/22/15,5.602739726
P2015-191,0,-1,0,,,Means,Study 1,M,1/6/11,7/15/15,4.523287671
P2015-193,1,0,0,,,Means,Study 1,F,7/5/10,7/15/15,5.030136986
P2015-197,0,-1,1,,,Means,Study 1,F,12/17/09,7/27/15,5.610958904
P2015-199,1,0,0,,,Means,Study 1,F,9/6/10,7/27/15,4.890410959
P2015-83,0,-1,1,,,Means,Study 1,F,12/16/10,5/21/15,4.430136986
P2015-86,0,-1,1,,,Means,Study 1,M,10/4/10,5/21/15,4.630136986
P2014-251,0,-2,0,,,Means+Stealing,Study 1,F,5/22/09,2/27/15,5.77260274
P2014-252,1,1,0,,,Means+Stealing,Study 1,M,7/20/09,2/27/15,5.610958904
P2014-254,0,-1,0,,,Means+Stealing,Study 1,M,4/27/09,2/27/15,5.84109589
P2015-10,0,-2,1,,,Means+Stealing,Study 1,M,8/12/10,2/25/15,4.542465753
P2015-102,0,-2,1,,,Means+Stealing,Study 1,F,2/19/11,4/29/15,4.191780822
P2015-116,0,-2,1,,,Means+Stealing,Study 1,F,12/4/10,5/13/15,4.44109589
P2015-120,0,-1,0,,,Means+Stealing,Study 1,M,11/18/09,5/13/15,5.484931507
P2015-125,0,-2,1,,,Means+Stealing,Study 1,M,4/19/10,5/21/15,5.090410959
P2015-129,0,0,0,,,Means+Stealing,Study 1,,,,
P2015-131,0,-1,0,,,Means+Stealing,Study 1,M,2/15/10,5/21/15,5.263013699
P2015-14,0,0,1,,,Means+Stealing,Study 1,F,2/18/11,2/25/15,4.021917808
P2015-157,0,-1,1,,,Means+Stealing,Study 1,M,4/5/10,6/25/15,5.224657534
P2015-171,0,-2,1,,,Means+Stealing,Study 1,F,6/4/10,7/13/15,5.109589041
P2015-174,0,1,1,,,Means+Stealing,Study 1,M,2/28/11,7/13/15,4.37260274
P2015-188,0,0,1,,,Means+Stealing,Study 1,F,2/20/11,7/15/15,4.4
P2015-192,0,-2,0,,,Means+Stealing,Study 1,M,11/11/10,7/22/15,4.695890411
P2015-194,0,1,0,,,Means+Stealing,Study 1,M,11/7/10,7/22/15,4.706849315
P2015-196,0,-2,1,,,Means+Stealing,Study 1,M,4/10/10,7/22/15,5.284931507
P2015-198,0,-2,1,,,Means+Stealing,Study 1,F,7/24/10,7/27/15,5.010958904
P2015-200,0,-1,0,,,Means+Stealing,Study 1,F,10/6/10,7/27/15,4.808219178
P2015-3,0,-2,1,,,Means+Stealing,Study 1,M,7/22/11,2/25/15,3.6
P2015-50,0,-1,0,,,Means+Stealing,Study 1,M,10/13/10,2/26/15,4.375342466
P2015-51,0,-1,0,,,Means+Stealing,Study 1,F,10/8/10,2/26/15,4.389041096
P2015-53,1,2,1,,,Means+Stealing,Study 1,F,10/1/10,2/26/15,4.408219178
P2015-57,0,-1,1,,,Means+Stealing,Study 1,F,4/26/10,2/25/15,4.838356164
P2015-58,0,-2,1,,,Means+Stealing,Study 1,M,3/3/10,2/25/15,4.98630137
P2015-59,1,2,0,,,Means+Stealing,Study 1,F,9/10/09,2/27/15,5.468493151
P2015-60,0,-1,1,,,Means+Stealing,Study 1,M,8/17/09,2/27/15,5.534246575
P2015-61,0,-1,1,,,Means+Stealing,Study 1,M,3/3/09,2/27/15,5.991780822
P2015-62,0,-1,0,,,Means+Stealing,Study 1,F,12/3/09,4/20/15,5.380821918
P2015-67,0,-2,0,,,Means+Stealing,Study 1,F,9/14/10,4/20/15,4.6
P2015-69,0,-1,1,,,Means+Stealing,Study 1,M,9/9/09,4/20/14,4.61369863
P2015-73,0,-2,0,,,Means+Stealing,Study 1,F,1/29/11,4/15/15,4.210958904
P2015-74,0,-2,1,,,Means+Stealing,Study 1,F,1/29/11,4/15/15,4.210958904
P2015-75,1,0,1,,,Means+Stealing,Study 1,M,9/3/11,4/15/15,3.616438356
P2015-76,1,2,0,,,Means+Stealing,Study 1,F,6/10/11,4/15/15,3.849315068
P2015-77,0,-2,1,,,Means+Stealing,Study 1,M,3/15/11,4/15/15,4.087671233
P2015-78,0,-2,1,,,Means+Stealing,Study 1,F,8/10/10,4/15/15,4.682191781
P2015-88,0,-1,1,,,Means+Stealing,Study 1,,,,
P2015-89,0,-1,0,,,Means+Stealing,Study 1,F,10/19/10,5/21/15,4.589041096
P2015-98,0,-1,1,,,Means+Stealing,Study 1,F,2/17/10,4/29/15,5.197260274
P2015-99,0,-2,0,,,Means+Stealing,Study 1,F,1/22/10,4/29/15,5.268493151
P2014-178,1,2,1,,,SideEffect,Study 1,M,2/1/10,12/9/14,4.854794521
P2014-24,1,-1,1,,,SideEffect,Study 1,F,6/29/10,2/18/15,4.643835616
P2014-262,1,2,0,,,SideEffect,Study 1,M,5/28/10,12/9/14,4.536986301
P2014-94,1,0,1,,,SideEffect,Study 1,M,10/15/10,5/28/15,4.619178082
P2015-100,0,0,0,,,SideEffect,Study 1,M,11/12/09,4/30/15,5.465753425
P2015-103,0,-1,1,,,SideEffect,Study 1,F,6/4/10,4/30/15,4.906849315
P2015-11,1,0,1,,,SideEffect,Study 1,F,2/13/10,2/11/15,4.997260274
P2015-117,0,-1,1,,,SideEffect,Study 1,M,8/12/10,5/13/15,4.753424658
P2015-12,1,2,0,,,SideEffect,Study 1,F,1/26/10,2/11/15,5.046575342
P2015-121,1,2,1,,,SideEffect,Study 1,F,10/22/09,5/13/15,5.55890411
P2015-127,0,-2,1,,,SideEffect,Study 1,,,,
P2015-133,1,-1,1,,,SideEffect,Study 1,F,6/2/10,5/28/15,4.989041096
P2015-134,1,0,0,,,SideEffect,Study 1,F,11/22/10,5/28/15,4.515068493
P2015-135,1,2,0,,,SideEffect,Study 1,M,8/20/10,5/28/15,4.77260274
P2015-137,1,2,1,,,SideEffect,Study 1,M,1/14/10,6/8/15,5.4
P2015-143,1,2,0,,,SideEffect,Study 1,M,3/11/10,7/8/15,5.328767123
P2015-146,1,0,0,,,SideEffect,Study 1,M,10/15/10,7/8/15,4.731506849
P2015-150,1,2,1,,,SideEffect,Study 1,M,4/10/10,6/25/15,5.210958904
P2015-151,1,2,1,,,SideEffect,Study 1,M,4/5/11,6/25/15,4.224657534
P2015-165,1,-2,1,,,SideEffect,Study 1,M,3/8/10,7/8/15,5.336986301
P2015-166,1,0,0,,,SideEffect,Study 1,M,2/1/10,7/8/15,5.432876712
P2015-167,1,2,1,,,SideEffect,Study 1,F,3/28/15,7/8/15,
P2015-2,0,0,1,,,SideEffect,Study 1,F,10/30/09,2/18/15,5.306849315
P2015-20,1,0,0,,,SideEffect,Study 1,F,11/4/09,2/18/15,5.293150685
P2015-23,1,2,0,,,SideEffect,Study 1,M,2/18/10,2/18/15,5.002739726
P2015-25,1,0,1,,,SideEffect,Study 1,M,12/6/09,2/19/15,5.208219178
P2015-30,0,1,0,,,SideEffect,Study 1,F,10/18/10,2/20/15,4.345205479
P2015-31,0,-2,1,,,SideEffect,Study 1,F,10/18/10,2/20/15,4.345205479
P2015-32,0,1,0,,,SideEffect,Study 1,F,7/13/10,2/20/15,4.610958904
P2015-33,1,-1,0,,,SideEffect,Study 1,F,10/30/10,2/20/15,4.312328767
P2015-37,0,-2,0,,,SideEffect,Study 1,M,5/29/10,2/20/15,4.734246575
P2015-38,1,2,0,,,SideEffect,Study 1,F,7/19/10,2/20/15,4.594520548
P2015-39,0,-1,1,,,SideEffect,Study 1,M,4/2/10,2/23/15,4.898630137
P2015-4,1,-2,0,,,SideEffect,Study 1,,,2/11/15,
P2015-40,0,0,0,,,SideEffect,Study 1,M,1/14/10,2/13/15,5.084931507
P2015-41,0,-2,1,,,SideEffect,Study 1,F,3/23/10,2/23/15,4.926027397
P2015-42,0,-1,0,,,SideEffect,Study 1,M,3/17/10,2/23/15,4.942465753
P2015-44,0,-2,1,,,SideEffect,Study 1,F,5/29/10,2/23/15,4.742465753
P2015-5,1,-1,0,,,SideEffect,Study 1,F,10/24/10,2/11/15,4.304109589
P2015-6,1,0,0,,,SideEffect,Study 1,M,3/29/11,2/11/15,3.876712329
P2015-9,1,0,0,,,SideEffect,Study 1,F,7/18/10,2/11/15,4.57260274
P2015-93,1,1,0,,,SideEffect,Study 1,M,2/23/20,5/28/15,
1,1,2,,,,Implied Consent,Study 2,F,2/20/14,11/20/18,4.750684932
3,0,-1,,,,Implied Consent,Study 2,F,12/5/12,11/25/18,5.975342466
4,0,-1,,,,Implied Consent,Study 2,F,11/24/12,11/25/18,6.005479452
6,0,0,,,,Implied Consent,Study 2,F,5/9/14,11/25/18,4.550684932
8,0,-1,,,,Implied Consent,Study 2,M,4/26/14,12/2/18,4.605479452
10,0,2,,,,Implied Consent,Study 2,F,9/14/12,12/2/18,6.219178082
12,0,-1,,,,Implied Consent,Study 2,M,2/17/13,12/2/18,5.791780822
13,1,0,,,,Implied Consent,Study 2,F,3/4/13,12/9/18,5.769863014
16,1,0,,,,Implied Consent,Study 2,F,3/14/14,12/9/18,4.742465753
17,0,-2,,,,Implied Consent,Study 2,F,2/12/14,12/9/18,4.824657534
18,0,-1,,,,Implied Consent,Study 2,M,,12/9/18,
19,0,-1,,,,Implied Consent,Study 2,M,4/10/13,12/9/18,5.668493151
20,0,-1,,,,Implied Consent,Study 2,M,4/4/13,12/9/18,5.684931507
21,1,0,,,,Implied Consent,Study 2,F,22-Dec,12/9/18,4.967123288
23,1,0,,,,Implied Consent,Study 2,F,8/18/13,2/10/19,5.484931507
24,0,0,,,,Implied Consent,Study 2,M,8/26/14,2/10/19,4.463013699
25,0,-2,,,,Implied Consent,Study 2,M,8/19/15,2/24/19,3.520547945
26,0,-1,,,,Implied Consent,Study 2,F,4/24/13,2/24/19,5.84109589
28,0,-1,,,,Implied Consent,Study 2,M,9/23/14,2/24/19,4.424657534
29,0,-1,,,,Implied Consent,Study 2,M,6/13/13,2/24/19,5.704109589
31,0,-2,,,,Implied Consent,Study 2,F,3/25/15,3/3/19,3.942465753
32,0,-1,,,,Implied Consent,Study 2,M,10/14/14,3/3/19,4.38630137
37,0,0,,,,Implied Consent,Study 2,M,10/23/13,3/10/19,5.380821918
38,1,-2,,,,Implied Consent,Study 2,F,2/3/14,3/10/19,5.098630137
39,1,-2,,,,Implied Consent,Study 2,F,2/13/15,3/10/19,4.071232877
40,1,0,,,,Implied Consent,Study 2,F,7/24/14,3/10/19,4.630136986
44,1,0,,,,Implied Consent,Study 2,M,3/29/15,10-Mar,3.950684932
45,0,2,,,,Implied Consent,Study 2,F,9/25/13,3/17/19,5.476712329
46,1,0,,,,Implied Consent,Study 2,M,9/3/15,17-Mar,3.536986301
47,1,2,,,,Implied Consent,Study 2,F,11/27/14,3/17/19,4.304109589
48,1,0,,,,Implied Consent,Study 2,M,3/27/15,3/17/19,3.975342466
50,1,2,,,,Implied Consent,Study 2,M,4/25/14,3/29/19,4.928767123
51,0,-1,,,,Implied Consent,Study 2,M,8/10/14,3/29/19,4.635616438
52,1,0,,,,Implied Consent,Study 2,F,7/20/13,3/29/19,5.693150685
53,0,-2,,,,Implied Consent,Study 2,F,6/13/14,3/29/19,4.794520548
54,0,-2,,,,Implied Consent,Study 2,M,12/21/13,3/29/19,5.271232877
55,0,-1,,,,Implied Consent,Study 2,M,7/10/14,3/29/19,4.720547945
56,1,1,,,,Implied Consent,Study 2,F,3/20/14,4/5/19,5.046575342
57,0,0,,,,Implied Consent,Study 2,F,2/10/15,4/5/19,4.150684932
59,0,1,,,,Implied Consent,Study 2,F,6/24/14,4/5/19,4.783561644
62,0,0,,,,Implied Consent,Study 2,M,12/27/14,4/5/19,4.273972603
64,1,0,,,,Implied Consent,Study 2,F,9/15/13,6/8/18,4.731506849
2010-76,1,-2,,1,1,Implied Consent,Study 3a,F,1/17/10,8/13/14,4.57260274
P2014-152,1,2,,1,0,Implied Consent,Study 3a,F,3/23/10,8/13/14,4.394520548
P2014-158,1,0,,1,0,Implied Consent,Study 3a,F,3/12/09,8/13/14,5.424657534
P2014-179,1,2,,0,1,Implied Consent,Study 3a,M,4/21/10,11/18/14,4.580821918
P2014-185,1,0,,1,1,Implied Consent,Study 3a,F,,11/18/14,
P2014-187,1,0,,1,0,Implied Consent,Study 3a,M,5/18/10,8/18/14,4.254794521
P2014-190,1,2,,1,1,Implied Consent,Study 3a,F,12/25/09,8/13/14,4.635616438
P2014-191,0,2,,1,0,Implied Consent,Study 3a,M,12/24/08,8/18/14,5.652054795
P2014-192,1,0,,1,1,Implied Consent,Study 3a,M,12/15/08,8/18/14,5.676712329
P2014-193,0,-2,,1,1,Implied Consent,Study 3a,M,1/9/09,8/18/14,5.608219178
P2014-195,0,2,,0,1,Implied Consent,Study 3a,F,2/16/10,10/2/14,4.62739726
P2014-197,0,0,,0,0,Implied Consent,Study 3a,F,12/8/09,10/2/14,4.819178082
P2014-199,0,2,,1,1,Implied Consent,Study 3a,M,4/27/10,10/2/14,4.435616438
P2014-200,1,2,,1,0,Implied Consent,Study 3a,F,3/28/10,10/2/14,4.517808219
P2014-207,1,0,,1,1,Implied Consent,Study 3a,F,,11/13/14,
P2014-208,0,0,,1,1,Implied Consent,Study 3a,M,12/28/09,10/10/14,4.78630137
P2014-210,1,0,,1,0,Implied Consent,Study 3a,F,9/19/09,10/14/14,5.071232877
P2014-211,0,2,,1,1,Implied Consent,Study 3a,F,4/12/10,10/14/14,4.509589041
P2014-213,0,2,,1,0,Implied Consent,Study 3a,F,10/14/09,10/14/14,5.002739726
P2014-214,0,0,,0,1,Implied Consent,Study 3a,M,11/15/09,10/14/14,4.915068493
P2014-220,1,-1,,1,0,Implied Consent,Study 3a,F,6/20/10,11/18/14,4.416438356
P2014-235,1,2,,1,0,Implied Consent,Study 3a,M,7/29/10,11/12/14,4.293150685
P2014-237,1,2,,1,0,Implied Consent,Study 3a,M,12/20/09,11/12/14,4.898630137
P2014-238,0,-2,,0,1,Implied Consent,Study 3a,F,11/25/09,11/12/14,4.967123288
P2014-239,1,1,,1,0,Implied Consent,Study 3a,F,6/7/10,11/12/14,4.435616438
P2014-241,1,2,,1,1,Implied Consent,Study 3a,M,4/2/09,11/12/14,5.616438356
P2014-242,1,2,,1,0,Implied Consent,Study 3a,F,9/23/10,11/12/14,4.139726027
P2014-244,0,-2,,0,1,Implied Consent,Study 3a,M,12/18/09,11/12/14,4.904109589
P2014-248,1,0,,1,0,Implied Consent,Study 3a,F,3/16/10,11/17/14,4.676712329
P2014-249,1,-1,,1,1,Implied Consent,Study 3a,F,5/14/10,11/17/14,4.515068493
P2014-250,1,2,,1,0,Implied Consent,Study 3a,F,10/30/09,11/17/14,5.052054795
P2015-128,0,0,,1,1,Implied Consent,Study 3a,,,,
P2015-63,1,-1,,,,Baseline,Study 3a,M,11/12/09,42124,5.465753425
P2015-66,0,-2,,,,Baseline,Study 3a,F,6/4/10,42124,4.906849315
P2015-79,0,-2,,,,Baseline,Study 3a,M,9/17/09,42137,5.654794521
P2015-116,1,-1,,,,Baseline,Study 3a,F,12/4/10,42137,4.44109589
P2015-122,1,2,,,,Baseline,Study 3a,M,8/12/10,42137,4.753424658
P2015-118,0,-1,,,,Baseline,Study 3a,F,8/12/10,42137,4.753424658
P2015-117,1,-2,,,,Baseline,Study 3a,M,11/18/09,42137,5.484931507
P2015-103,0,-2,,,,Baseline,Study 3a,F,10/22/09,42137,5.55890411
P2015-100,0,0,,,,Baseline,Study 3a,F,8/13/10,42137,4.750684932
P2015-120,0,-1,,,,Baseline,Study 3a,,,,
P2015-121,0,-2,,,,Baseline,Study 3a,F,11/10/11,42114,3.443835616
P2015-114,0,-2,,,,Baseline,Study 3a,F,5/8/11,42114,3.953424658
P2015-88,0,-1,,,,Baseline,Study 3a,M,5/6/11,42114,3.95890411
P2015-126,0,-2,,,,Baseline,Study 3a,,,,
2010-50c,0,-2,,0,,Implied Consent,Study 3b,F,1/8/10,11/26/13,3.884931507
P2013-115,1,0,,1,,Implied Consent,Study 3b,M,12/3/08,41590,4.945205479
P2013-216,1,0,,1,,Implied Consent,Study 3b,F,10/2/08,41600,5.142465753
P2013-217,1,2,,1,,Implied Consent,Study 3b,M,1/2/09,41600,4.890410959
P2013-218,1,0,,1,,Implied Consent,Study 3b,M,12/6/08,41600,4.964383562
P2013-219,1,2,,1,,Implied Consent,Study 3b,M,3/13/09,41600,4.698630137
P2013-222,1,0,,1,,Implied Consent,Study 3b,M,8/21/09,41590,4.230136986
P2013-223,0,0,,0,,Implied Consent,Study 3b,F,9/28/09,41590,4.126027397
P2013-270,1,-1,,1,,Implied Consent,Study 3b,F,12/22/08,11/18/13,4.909589041
P2013-271,0,-2,,1,,Implied Consent,Study 3b,F,4/8/09,41596,4.616438356
P2013-273,0,-2,,0,,Implied Consent,Study 3b,F,9/14/09,41593,4.17260274
P2013-275,1,2,,1,,Implied Consent,Study 3b,M,9/5/09,41593,4.197260274
P2013-279,1,2,,1,,Implied Consent,Study 3b,F,10/25/09,41593,4.060273973
P2013-291,0,0,,0,,Implied Consent,Study 3b,M,5/19/09,41611,4.545205479
P2013-293,0,-1,,0,,Implied Consent,Study 3b,M,9/5/09,41611,4.246575342
P2013-294,1,0,,1,,Implied Consent,Study 3b,F,3/3/09,41611,4.756164384
P2013-295,1,0,,1,,Implied Consent,Study 3b,F,12/4/08,41611,5
P2013-297,0,-2,,1,,Implied Consent,Study 3b,M,6/15/10,41611,3.471232877
P2013-298,1,-1,,1,,Implied Consent,Study 3b,F,3/9/10,41611,3.739726027
P2013-310a,0,2,,0,,Implied Consent,Study 3b,F,12/13/09,41612,3.978082192
P2013-312,1,2,,1,,Implied Consent,Study 3b,F,2/27/09,41612,4.769863014
P2013-313,1,2,,1,,Implied Consent,Study 3b,F,4/3/09,41612,4.673972603
P2013-314,1,2,,0,,Implied Consent,Study 3b,F,3/24/09,41612,4.701369863
P2013-315,1,2,,1,,Implied Consent,Study 3b,M,4/21/09,12/4/13,4.624657534
P2015-102,0,-2,,,,Baseline,Study 3b,F,2/19/11,4/29/15,4.191780822
P2015-62,0,-1,,,,Baseline,Study 3b,F,12/3/09,4/20/15,5.380821918
P2015-67,0,-1,,,,Baseline,Study 3b,F,9/14/10,4/10/15,4.57260274
P2015-69,0,-1,,,,Baseline,Study 3b,M,9/9/09,4/20/15,5.61369863
P2015-73,0,-1,,,,Baseline,Study 3b,F,1/29/11,4/15/15,4.210958904
P2015-74,0,-1,,,,Baseline,Study 3b,F,1/29/11,4/15/15,4.210958904
P2015-75,1,-1,,,,Baseline,Study 3b,M,9/3/11,4/15/15,3.616438356
P2015-76,0,-2,,,,Baseline,Study 3b,F,6/10/11,4/15/15,3.849315068
P2015-77,0,-2,,,,Baseline,Study 3b,M,3/15/11,4/15/15,4.087671233
P2015-78,0,0,,,,Baseline,Study 3b,F,8/10/10,4/15/15,4.682191781
P2015-98,0,-2,,,,Baseline,Study 3b,F,2/17/10,4/29/15,5.197260274
P2015-99,0,-2,,,,Baseline,Study 3b,F,1/22/10,4/29/15,5.268493151
